,iter,num_query_terms,document_field,term_field,strgy,top1_acc,top5_acc,top10_acc,num_train_documents,num_test_documents,query_terms_ratio
0,0,0,session,track,get_terms,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
1,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
2,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
3,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
4,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
5,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
6,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
7,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
8,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
9,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
10,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
11,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
12,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
13,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
14,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
15,0,0,session,track,<function get_terms at 0x7f8d409a2f28>,0.15789473684210525,0.18421052631578946,0.18421052631578946,1491,453,0.2
