session,returned_candidates,unique_candidates,top1_match,top_5_match,top_10_match,terms_in_session,candidate_recs,rank_ratio_5,rank_ratio_10
1542.0,29.0,10.0,1.0,5.0,6.0,3.0,10.0,0.5,0.6
1543.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1544.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1545.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1546.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,
1547.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
1548.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1549.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1551.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0
1552.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0
1553.0,7.0,7.0,1.0,2.0,4.0,1.0,7.0,0.2857142857142857,0.5714285714285714
1555.0,5.0,5.0,0.0,1.0,1.0,3.0,5.0,0.2,0.2
1556.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1557.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1560.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
1561.0,11.0,5.0,1.0,2.0,2.0,2.0,5.0,0.4,0.4
2582.0,21.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
2584.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
2585.0,12.0,10.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0
2586.0,12.0,10.0,1.0,1.0,1.0,3.0,10.0,0.1,0.1
2587.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
2588.0,20.0,10.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0
2589.0,10.0,10.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0
2590.0,10.0,10.0,0.0,1.0,1.0,2.0,10.0,0.1,0.1
3087.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,
4499.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
4501.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
4502.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
9649.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
9651.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
11811.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
13672.0,14.0,10.0,1.0,3.0,3.0,4.0,10.0,0.3,0.3
13673.0,14.0,10.0,1.0,1.0,1.0,1.0,10.0,0.1,0.1
13674.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,
13675.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
13676.0,20.0,10.0,1.0,1.0,2.0,6.0,10.0,0.1,0.2
