itr,build_time,match_time,amnt_docs,amnt_queries,term_field,document_field,query_terms_ratio,memory_size,index_size_kb
1,3.483,2.025,92,21,track,session,0.8,3,64
1,3.441,2.338,92,21,track,session,0.8,1,53
1,3.44,2.448,92,21,track,session,0.8,2,64
1,0.225,0.058,4,1,track,user,0.8,1,0
1,0.157,0.1,4,1,track,user,0.8,2,0
1,0.198,0.096,4,1,track,user,0.8,3,0
1,0.163,0.089,4,1,track,user,0.8,4,0
1,2.699,2.127,92,21,track,session,0.8,4,58
1,2.856,2.226,92,23,track,session,0.5,1,52
1,2.92,2.076,92,23,track,session,0.5,2,64
1,0.201,0.115,4,1,track,user,0.5,1,0
1,0.194,0.246,4,1,track,user,0.5,2,0
1,0.16,0.094,4,1,track,user,0.5,3,0
1,2.805,1.781,92,23,track,session,0.5,3,60
1,0.21,0.147,4,1,track,user,0.5,4,0
1,2.696,1.755,92,23,track,session,0.5,4,58
1,2.721,2.0,92,23,track,session,0.2,1,10
1,2.823,2.24,92,23,track,session,0.2,2,1
1,0.173,0.116,4,1,track,user,0.2,1,0
1,2.692,2.039,92,23,track,session,0.2,3,59
1,0.239,0.113,4,1,track,user,0.2,2,0
1,0.182,0.084,4,1,track,user,0.2,3,0
1,0.137,0.09,4,1,track,user,0.2,4,0
1,2.569,1.067,92,23,track,session,0.2,4,58
